,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,type,popularity,uri,title,artist,top genre,year,target
1093,0.491,0.133,132.968,0.259,0.152,0.0,4,0.863,1,173793,-8.51,0.37,1,audio_features,50,spotify:track:5W8U3zV3xjeZL0gjKapWxZ,Sauce Boyz,Cardi B,pop,2016,0
1094,0.256,0.381,99.76299999999999,0.956,0.501,0.0,3,0.684,11,36571,-19.406,0.9059999999999999,0,audio_features,31,spotify:track:65E62IKAS6cnO46fpkDhx1,Outro (Skit) (feat. Lisa Evers),Cardi B & Lisa Evers,pop,2016,0
1095,0.823,0.11599999999999999,115.801,0.0904,0.0242,0.0,5,0.522,10,242213,-3.103,0.501,0,audio_features,35,spotify:track:11lYILiDbD6sidMgZYRq1t,Krimi rad,Jelena Karleusa & Teca,narodna muzika,2012,0
1096,0.9229999999999999,0.23199999999999998,128.076,0.172,0.0463,0.0,4,0.585,1,209347,-2.138,0.46,1,audio_features,11,spotify:track:1wJ4j79dGhTHJGjL2JpPVx,Savrsen zlocin,Jelena Karleusa,narodna muzika,2012,0
1097,0.8440000000000001,0.439,128.01,0.0738,0.0114,0.0,4,0.731,11,249133,-2.985,0.40700000000000003,0,audio_features,34,spotify:track:4H2sg69nQscOGhEeMo4e8S,Insomnia,Jelena Karleusa & Mirza,narodna muzika,2012,0
1098,0.915,0.0865,131.993,0.0871,0.0231,0.0,4,0.706,7,231160,-1.516,0.505,1,audio_features,15,spotify:track:54ZjuhfeqH180SncaeVCHB,Duboko ranjena,Jelena Karleusa,narodna muzika,2012,0
1099,0.9590000000000001,0.358,127.98200000000001,0.0431,0.0164,8.39e-05,4,0.634,11,246973,-2.472,0.318,0,audio_features,22,spotify:track:0GkvsHaLjF3yIlNr6t45fB,So,Jelena Karleusa & Nesh,narodna muzika,2012,0
1100,0.93,0.966,129.982,0.0333,7.63e-05,0.21,4,0.594,8,276520,-5.048,0.389,1,audio_features,9,spotify:track:61Nvu9Qjg641IXoJygYRYh,Samo za tvoje oci - live,Jelena Karleusa,narodna muzika,2012,0
1101,0.8590000000000001,0.47600000000000003,93.95200000000001,0.201,0.0158,0.0,4,0.608,10,214933,-4.9510000000000005,0.44,0,audio_features,7,spotify:track:74GyQOU6rWuYbgw5LsUfj6,Jelena - live,Jelena Karleusa,narodna muzika,2012,0
1102,0.8740000000000001,0.737,97.934,0.0886,0.000947,0.0,4,0.6559999999999999,4,227813,-4.677,0.195,0,audio_features,10,spotify:track:33SUYZaKrYDHGmcl8KsBhN,Zene vole dijamante - live,Jelena Karleusa,narodna muzika,2012,0
1103,0.924,0.7929999999999999,115.01799999999999,0.121,0.00108,0.000452,4,0.626,10,237013,-5.04,0.302,0,audio_features,8,spotify:track:3H48TzuCOqYhqOqtq4SCdJ,Ludaca - live,Jelena Karleusa,narodna muzika,2012,0
1104,0.835,0.258,150.05100000000002,0.0689,0.129,0.0,4,0.583,5,234547,-2.8789999999999996,0.54,0,audio_features,13,spotify:track:1RcrNmrfQwfvnTe0jYNHKt,Tihi ubica,Jelena Karleusa,narodna muzika,2012,0
